num_data_qubits,num_logical_qubits,embedded_distance,em3_distance,sd6_distance,dp1_distance,vertex_configuration
16,4,2,2,2,2,8.8.8
32,6,2,2,3,4,8.8.8
60,5,3,3,,4,4.10.10
64,10,2,2,4,4,8.8.8
120,8,3,3,4,4,4.10.10
160,10,4,4,4,8,4.10.10
240,8,4,4,6,6,4.10.8
256,34,4,4,4,4,8.8.8
320,18,5,4,6,10,4.10.10
336,44,3,3,6,6,8.8.8
336,44,4,4,6,6,8.8.8
512,66,4,4,6,8,8.8.8
600,32,6,6,6,6,4.10.10
640,18,6,6,8,8,4.10.8
720,20,5,5,8,10,4.10.8
720,92,4,4,6,8,8.8.8
1024,130,4,4,6,8,8.8.8
1296,164,4,4,6,6,8.8.8
1344,170,6,,,8,8.8.8
1344,170,6,,6,6,8.8.8
1440,38,8,8,8,16,4.10.8
2048,258,4,4,,8,8.8.8
2048,258,4,4,,8,8.8.8
2048,258,4,4,6,8,8.8.8
2160,272,5,,,10,8.8.8
2688,338,6,,,8,8.8.8
2688,338,6,,,6,8.8.8
2880,362,4,,,8,8.8.8
3600,182,8,,,16,4.10.10
3888,488,4,,,6,8.8.8
3888,488,4,,,6,8.8.8
4096,514,4,,,8,8.8.8
4096,514,4,,,8,8.8.8
4896,614,6,,,10,8.8.8
4896,614,6,,,10,8.8.8
5184,650,4,,,8,8.8.8
5376,674,6,,,8,8.8.8
5376,674,6,,,8,8.8.8
5760,722,6,,,10,8.8.8
7200,182,10,,,16,4.10.8
10240,514,9,,,,4.10.10
19200,962,10,,,,4.10.10
