fine_graining_parameter_l,num_data_qubits,num_logical_qubits,embedded_distance,em3_distance,sd6_distance,dp1_distance,seed_tiling_vertex_configuration,seed_tiling_id
1,16,4,2,2,2,2,8.8.8,c7c24aad
2,64,4,3,3,4,6,8.8.8,c7c24aad
3,144,4,4,4,6,8,8.8.8,c7c24aad
4,256,4,6,6,8,10,8.8.8,c7c24aad
5,400,4,7,7,10,14,8.8.8,c7c24aad
6,576,4,8,8,12,16,8.8.8,c7c24aad
7,784,4,10,10,14,18,8.8.8,c7c24aad
8,1024,4,11,11,16,22,8.8.8,c7c24aad
9,1296,4,12,12,18,24,8.8.8,c7c24aad
10,1600,4,14,14,20,26,8.8.8,c7c24aad
1,60,5,3,3,,4,4.10.10,83ac67d0
2,240,5,5,5,,10,4.10.10,83ac67d0
3,540,5,7,7,,14,4.10.10,83ac67d0
4,960,5,10,10,,18,4.10.10,83ac67d0
5,1500,5,12,,,24,4.10.10,83ac67d0
6,2160,5,14,,,28,4.10.10,83ac67d0
7,2940,5,17,,,32,4.10.10,83ac67d0
8,3840,5,19,,,38,4.10.10,83ac67d0
9,4860,5,21,,,42,4.10.10,83ac67d0
10,6000,5,24,,,48,4.10.10,83ac67d0
1,32,6,2,2,3,4,8.8.8,0e885f39
2,128,6,4,4,6,8,8.8.8,0e885f39
3,288,6,6,6,9,12,8.8.8,0e885f39
4,512,6,8,8,12,16,8.8.8,0e885f39
5,800,6,10,10,15,20,8.8.8,0e885f39
6,1152,6,12,12,18,24,8.8.8,0e885f39
7,1568,6,14,14,21,28,8.8.8,0e885f39
8,2048,6,16,,,32,8.8.8,0e885f39
9,2592,6,18,,,36,8.8.8,0e885f39
10,3200,6,20,,,40,8.8.8,0e885f39
1,120,8,3,3,4,4,4.10.10,3105ffea
2,480,8,6,6,8,12,4.10.10,3105ffea
3,1080,8,8,,,16,4.10.10,3105ffea
4,1920,8,12,,,20,4.10.10,3105ffea
5,3000,8,14,,,28,4.10.10,3105ffea
6,4320,8,16,,,32,4.10.10,3105ffea
7,5880,8,20,,,36,4.10.10,3105ffea
8,7680,8,22,,,44,4.10.10,3105ffea
9,9720,8,24,,,48,4.10.10,3105ffea
10,12000,8,28,,,52,4.10.10,3105ffea
1,240,8,4,4,6,6,4.10.8,22b01fe9
2,960,8,8,8,12,16,4.10.8,22b01fe9
3,2160,8,12,,,24,4.10.8,22b01fe9
4,3840,8,16,,,30,4.10.8,22b01fe9
5,6000,8,20,,,40,4.10.8,22b01fe9
6,8640,8,24,,,48,4.10.8,22b01fe9
7,11760,8,28,,,54,4.10.8,22b01fe9
